,name,code
967,삼표시멘트,38500
968,삼현철강,17480
969,삼호개발,10960
970,삼화네트웍스,46390
971,삼화왕관,4450
972,삼화전기,9470
973,삼화전자,11230
974,삼화콘덴서,1820
975,삼화페인트,390
976,상보,27580
977,상상인,38540
978,상상인인더스트리,101000
979,상상인제3호스팩,415580
980,상상인증권,1290
981,상신브레이크,41650
982,상신이디피,91580
983,상신전자,263810
984,상아프론테크,89980
985,상지카일룸,42940
986,새로닉스,42600
987,새론오토모티브,75180
988,새빗켐,107600
989,샘씨엔에스,252990
990,샘표,7540
991,샘표식품,248170
992,샤페론,378800
993,서남,294630
994,서린바이오,38070
995,서부T&D,6730
996,서산,79650
997,서암기계공업,100660
998,서연,7860
999,서연이화,200880
1000,서연탑메탈,19770
1001,서울가스,17390
1002,서울리거,43710
1003,서울바이오시스,92190
1004,서울반도체,46890
1005,서울식품,4410
1006,서울옥션,63170
1007,서울전자통신,27040
1008,서울제약,18680
1009,서원,21050
1010,서원인텍,93920
1011,서전기전,189860
1012,서진시스템,178320
1013,서진오토모티브,122690
1014,서플러스글로벌,140070
1015,서한,11370
1016,서호전기,65710
1017,서흥,8490
1018,서희건설,35890
1019,석경에이티,357550
1020,선광,3100
1021,선도전기,7610
1022,선바이오,67370
1023,선익시스템,171090
1024,선진,136490
1025,선진뷰티사이언스,86710
1026,성광벤드,14620
1027,성도이엔지,37350
1028,성문전자,14910
1029,성보화학,3080
1030,성신양회,4980
1031,성안,11300
1032,성우전자,81580
1033,성우테크론,45300
1034,성우하이텍,15750
1035,성일하이텍,365340
1036,성창기업지주,180
1037,성창오토텍,80470
1038,성호전자,43260
1039,세경하이테크,148150
1040,세기상사,2420
1041,세동,53060
1042,세림B&G,340440
1043,세명전기,17510
1044,세방,4360
1045,세방전지,4490
1046,세보엠이씨,11560
1047,세아메카닉스,396300
1048,세아베스틸지주,1430
1049,세아제강,306200
1050,세아제강지주,3030
1051,세아특수강,19440
1052,세아홀딩스,58650
1053,세우글로벌,13000
1054,세운메디칼,100700
1055,세원물산,24830
1056,세원이앤씨,91090
1057,세원정공,21820
1058,세이브존I&C,67830
1059,세종공업,33530
1060,세종메디칼,258830
1061,세종텔레콤,36630
1062,세중,39310
1063,세진중공업,75580
1064,세진티에스,67770
1065,세코닉스,53450
1066,세토피아,222810
1067,세하,27970
1068,세화피앤씨,252500
1069,센코,347000
1070,센트랄모텍,308170
1071,센트럴인사이트,12600
1072,셀레믹스,331920
1073,셀루메드,49180
1074,셀리드,299660
1075,셀리버리,268600
1076,셀바스AI,108860
1077,셀바스헬스케어,208370
1078,셀젠텍,258250
1079,셀트리온,68270
1080,셀트리온제약,68760
1081,셀트리온헬스케어,91990
1082,셀피글로벌,68940
1083,소니드,60230
1084,소룩스,290690
1085,소마젠,950200
1086,소프트센,32680
1087,소프트캠프,258790
1088,손오공,66910
1089,솔고바이오,43100
1090,솔루스첨단소재,336370
1091,솔루에타,154040
1092,솔루엠,248070
1093,솔본,35610
1094,솔브레인,357780
1095,솔브레인홀딩스,36830
1096,솔트룩스,304100
1097,솔트웨어,328380
1098,송원산업,4430
1099,쇼박스,86980
1100,수산아이앤티,50960
1101,수산인더스트리,126720
1102,수산중공업,17550
1103,수성샐바시온,84180
1104,수젠텍,253840
1105,수프로,185190
1106,슈프리마,236200
1107,슈프리마아이디,317770
1108,슈프리마에이치큐,94840
1109,슈피겐코리아,192440
1110,스마트솔루션즈,136510
1111,스맥,99440
1112,스카이라이프,53210
1113,스카이문스테크놀로지,33790
1114,스코넥,276040
1115,스킨앤스킨,159910
1116,스타플렉스,115570
1117,스톤브릿지벤처스,330730
1118,스튜디오드래곤,253450
1119,스튜디오산타클로스,204630
1120,스틱인베스트먼트,26890
1121,스페코,13810
1122,승일,49830
1123,시공테크,20710
1124,시그네틱스,33170
1125,시너지이노베이션,48870
1126,시노펙스,25320
1127,시디즈,134790
1128,시스웍,269620
1129,시큐브,131090
1130,시큐센,232830
1131,시티랩스,139050
1132,신대양제지,16590
1133,신도기연,290520
1134,신도리코,29530
1135,신라교역,4970
1136,신라섬유,1000
1137,신라에스지,25870
1138,신라젠,215600
1139,신성델타테크,65350
1140,신성이엔지,11930
1141,신성통상,5390
1142,신세계,4170
1143,신세계 I&C,35510
1144,신세계건설,34300
